Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
18.735,TraderOne,Tick,152,211,-59,0,140100,140300,-4848,8429448,163548,OK
19.063,TraderOne,Tick,152,211,-59,0,140100,140300,-4848,8429448,163548,OK
19.297,TraderOne,Tick,152,211,-59,0,140100,140300,-4848,8429448,163548,OK
19.563,TraderOne,Tick,152,211,-59,0,140100,140300,-4848,8429448,163548,OK
19.75,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
20.047,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
20.203,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
20.5,TraderOne,Tick,152,211,-59,0,140200,140500,-4848,8429448,151748,OK
20.797,TraderOne,Tick,152,211,-59,0,140200,140500,-4848,8429448,151748,OK
21.016,TraderOne,Tick,152,211,-59,0,140200,140500,-4848,8429448,151748,OK
21.297,TraderOne,Tick,152,211,-59,0,140200,140500,-4848,8429448,151748,OK
21.5,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
21.735,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
22.0,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
22.235,TraderOne,Tick,152,211,-59,0,140200,140100,-4848,8429448,157648,OK
22.516,TraderOne,Tick,152,211,-59,0,139900,140100,-4848,8429448,175348,OK
22.75,TraderOne,Tick,152,211,-59,0,139900,140000,-4848,8429448,175348,OK
23.0,TraderOne,Tick,152,211,-59,0,139900,140000,-4848,8429448,175348,OK
23.25,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
23.547,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
23.719,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
23.985,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
24.203,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
24.485,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
24.766,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
25.016,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
25.235,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
25.547,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
25.703,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
26.063,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
26.25,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
26.485,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
26.719,TraderOne,Tick,152,211,-59,0,140400,139800,-4848,8429448,169448,OK
26.953,TraderOne,Tick,152,211,-59,0,140400,139800,-4848,8429448,169448,OK
27.25,TraderOne,Tick,152,211,-59,0,140400,139800,-4848,8429448,169448,OK
27.532,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
27.719,TraderOne,Tick,152,211,-59,0,139900,139700,-4848,8429448,175348,OK
28.032,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
28.219,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
28.5,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
28.782,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
29.047,TraderOne,Tick,152,211,-59,0,139900,139800,-4848,8429448,175348,OK
29.266,TraderOne,Tick,152,211,-59,0,140200,139800,-4848,8429448,169448,OK
29.5,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
29.703,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
30.0,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
30.313,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
30.516,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
30.766,TraderOne,Tick,152,211,-59,0,140200,140000,-4848,8429448,157648,OK
31.016,TraderOne,Tick,152,211,-59,0,139800,140000,-4848,8429448,181248,OK
31.266,TraderOne,Tick,152,211,-59,0,139800,140000,-4848,8429448,181248,OK
31.532,TraderOne,Tick,152,211,-59,0,139800,140000,-4848,8429448,181248,OK
31.75,TraderOne,Tick,152,211,-59,0,139800,140000,-4848,8429448,181248,OK
32.047,TraderOne,Tick,152,211,-59,0,139800,140000,-4848,8429448,181248,OK
32.297,TraderOne,Tick,152,211,-59,0,139800,140100,-4848,8429448,175348,OK
32.563,TraderOne,Tick,152,211,-59,0,139800,140100,-4848,8429448,175348,OK
32.75,TraderOne,Tick,152,211,-59,0,139800,140100,-4848,8429448,175348,OK
33.016,TraderOne,Tick,152,211,-59,0,139800,140100,-4848,8429448,175348,OK
33.25,TraderOne,Tick,152,211,-59,0,139800,140200,-4848,8429448,169448,OK
33.547,TraderOne,Tick,152,211,-59,0,139800,140200,-4848,8429448,169448,OK
33.719,TraderOne,Tick,152,211,-59,0,139800,140200,-4848,8429448,169448,OK
33.985,TraderOne,Tick,152,211,-59,0,139800,140200,-4848,8429448,169448,OK
34.25,TraderOne,Tick,152,211,-59,0,139800,140300,-4848,8429448,163548,OK
34.469,TraderOne,Tick,152,211,-59,0,140200,140300,-4848,8429448,157648,OK
34.782,TraderOne,Tick,152,211,-59,0,140300,140700,-4848,8429448,139948,OK
35.047,TraderOne,Tick,187,211,-24,0,140300,140700,-3866,3517966,145966,OK
35.266,TraderOne,Tick,194,211,-17,0,140400,140700,-3669,2534969,146469,OK
35.469,TraderOne,Tick,194,211,-17,0,140400,140800,-3669,2534969,144769,OK
35.719,TraderOne,Tick,194,211,-17,0,140400,140800,-3669,2534969,144769,OK
36.047,TraderOne,Tick,217,211,6,0,140400,140800,-3992,-693908,149692,OK
36.219,TraderOne,Tick,217,211,6,0,140400,140800,-3992,-693908,149692,OK
36.469,TraderOne,Tick,217,211,6,0,140400,140800,-3992,-693908,149692,OK
36.797,TraderOne,Tick,217,211,6,0,140400,140800,-3992,-693908,149692,OK
37.0,TraderOne,Tick,217,211,6,0,140500,140800,-3992,-693908,149692,OK
37.235,TraderOne,Tick,217,211,6,0,140200,140800,-3992,-693908,149692,OK
37.532,TraderOne,Tick,217,211,6,0,140200,140800,-3992,-693908,149692,OK
37.703,TraderOne,Tick,217,211,6,0,140200,140800,-3992,-693908,149692,OK
37.953,TraderOne,Tick,217,211,6,0,140200,140800,-3992,-693908,149692,OK
38.203,TraderOne,Tick,261,211,50,0,140300,140800,-4609,-6866491,163509,OK
38.516,TraderOne,Tick,261,211,50,0,140500,140800,-4609,-6866491,163509,OK
38.735,TraderOne,Tick,308,211,97,0,140400,140800,-5269,-13464631,173569,OK
39.0,TraderOne,Tick,308,211,97,0,140400,140700,-5269,-13464631,163869,OK
39.313,TraderOne,Tick,308,211,97,0,140000,140700,-5269,-13464631,163869,OK
39.5,TraderOne,Tick,308,211,97,0,140000,140700,-5269,-13464631,163869,OK
39.797,TraderOne,Tick,308,211,97,0,140000,140500,-5269,-13464631,144469,OK
40.047,TraderOne,Tick,308,211,97,0,140000,140500,-5269,-13464631,144469,OK
40.282,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
40.5,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
40.766,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
41.0,TraderOne,Tick,308,211,97,0,140600,140700,-5269,-13464631,173569,OK
41.25,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
41.5,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
41.75,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
41.953,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
42.25,TraderOne,Tick,308,211,97,0,139800,140500,-5269,-13464631,144469,OK
42.5,TraderOne,Tick,308,211,97,0,139800,140500,-5269,-13464631,144469,OK
42.719,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
42.953,TraderOne,Tick,308,211,97,0,140600,140500,-5269,-13464631,173569,OK
43.282,TraderOne,Tick,308,211,97,0,139800,140400,-5269,-13464631,134769,OK
43.547,TraderOne,Tick,308,211,97,0,139800,140400,-5269,-13464631,134769,OK
43.766,TraderOne,Tick,308,211,97,0,139800,140400,-5269,-13464631,134769,OK
44.016,TraderOne,Tick,308,211,97,0,139800,140400,-5269,-13464631,134769,OK
44.219,TraderOne,Tick,308,211,97,0,140800,140400,-5269,-13464631,173569,OK
44.5,TraderOne,Tick,308,211,97,0,140800,140700,-5269,-13464631,192969,OK
44.75,TraderOne,Tick,308,211,97,0,140800,140700,-5269,-13464631,192969,OK
45.0,TraderOne,Tick,308,211,97,0,140800,140700,-5269,-13464631,192969,OK
45.219,TraderOne,Tick,308,211,97,0,140800,140700,-5269,-13464631,192969,OK
45.516,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
45.75,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
46.016,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
46.297,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
46.532,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
46.719,TraderOne,Tick,308,211,97,0,141100,140700,-5269,-13464631,202669,OK
47.0,TraderOne,Tick,308,211,97,0,140800,140700,-5269,-13464631,192969,OK
47.235,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
47.532,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
47.703,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
48.032,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
48.25,TraderOne,Tick,308,211,97,0,140700,140700,-5269,-13464631,183269,OK
48.532,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
48.75,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
49.0,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
49.235,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
49.516,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
49.735,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
49.985,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
50.25,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
50.547,TraderOne,Tick,308,211,97,0,140200,140700,-5269,-13464631,163869,OK
50.719,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
51.0,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
51.25,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
51.453,TraderOne,Tick,308,211,97,0,141000,140700,-5269,-13464631,202669,OK
51.813,TraderOne,Tick,308,255,53,0,141200,140700,-5890,-7251210,216490,OK
52.032,TraderOne,Tick,308,255,53,0,141200,140700,-5890,-7251210,216490,OK
52.235,TraderOne,Tick,308,255,53,0,141200,140700,-5890,-7251210,216490,OK
52.453,TraderOne,Tick,308,255,53,0,141200,140700,-5890,-7251210,216490,OK
52.735,TraderOne,Tick,308,270,38,0,141200,140700,-6102,-5132998,221202,OK
52.938,TraderOne,Tick,308,304,4,0,141200,140700,-6582,-331718,231882,OK
53.282,TraderOne,Tick,308,336,-28,0,141200,140700,-5678,4185778,240578,OK
53.547,TraderOne,Tick,308,336,-28,0,141200,140700,-5678,4185778,240578,OK
53.766,TraderOne,Tick,308,336,-28,0,141200,140700,-5678,4185778,240578,OK
53.969,TraderOne,Tick,308,336,-28,0,141200,140700,-5678,4185778,240578,OK
54.266,TraderOne,Tick,357,336,21,0,140400,140700,-6367,-2702933,247567,OK
54.5,TraderOne,Tick,357,336,21,0,140400,140700,-6367,-2702933,247567,OK
54.766,TraderOne,Tick,357,336,21,0,140400,140700,-6367,-2702933,247567,OK
54.953,TraderOne,Tick,357,336,21,0,140400,140700,-6367,-2702933,247567,OK
55.235,TraderOne,Tick,357,336,21,0,140400,140700,-6367,-2702933,247567,OK
55.516,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
55.797,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
55.938,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
56.203,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
56.5,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
56.735,TraderOne,Tick,357,336,21,0,140400,141000,-6367,-2702933,253867,OK
57.047,TraderOne,Tick,357,336,21,0,141300,141000,-6367,-2702933,262267,OK
57.235,TraderOne,Tick,357,336,21,0,140600,141000,-6367,-2702933,253867,OK
57.532,TraderOne,Tick,357,336,21,0,141300,141000,-6367,-2702933,262267,OK
57.75,TraderOne,Tick,357,336,21,0,141400,141000,-6367,-2702933,262267,OK
58.078,TraderOne,Tick,357,336,21,0,141400,141000,-6367,-2702933,262267,OK
58.25,TraderOne,Tick,357,336,21,0,141400,141000,-6367,-2702933,262267,OK
58.469,TraderOne,Tick,357,336,21,0,141400,141000,-6367,-2702933,262267,OK
58.782,TraderOne,Tick,357,336,21,0,141400,141000,-6367,-2702933,262267,OK
58.985,TraderOne,Tick,357,336,21,0,141400,140900,-6367,-2702933,260167,OK
59.25,TraderOne,Tick,357,336,21,0,141400,140900,-6367,-2702933,260167,OK
59.516,TraderOne,Tick,357,336,21,0,141400,141100,-6367,-2702933,264367,OK
59.719,TraderOne,Tick,357,336,21,0,141400,141100,-6367,-2702933,264367,OK
60.047,TraderOne,Tick,357,341,16,0,141300,141100,-6438,-1996362,264438,OK
60.313,TraderOne,Tick,357,341,16,0,141300,141100,-6438,-1996362,264438,OK
60.485,TraderOne,Tick,357,383,-26,0,141200,140800,-7031,3934631,268631,OK
60.703,TraderOne,Tick,357,383,-26,0,141200,140800,-7031,3934631,268631,OK
60.985,TraderOne,Tick,357,383,-26,0,141200,140800,-7031,3934631,268631,OK
61.297,TraderOne,Tick,357,383,-26,0,141200,140700,-7031,3934631,271231,OK
61.516,TraderOne,Tick,357,383,-26,0,141200,140700,-7031,3934631,271231,OK
61.766,TraderOne,Tick,357,383,-26,0,141200,140700,-7031,3934631,271231,OK
62.047,TraderOne,Tick,357,383,-26,0,141200,140600,-7031,3934631,273831,OK
62.235,TraderOne,Tick,357,383,-26,0,141200,140600,-7031,3934631,273831,OK
62.547,TraderOne,Tick,357,383,-26,0,141200,140600,-7031,3934631,273831,OK
62.75,TraderOne,Tick,357,421,-64,0,141000,140600,-7567,9293167,281967,OK
63.063,TraderOne,Tick,357,432,-75,0,141200,140600,-7722,10844322,284322,OK
63.235,TraderOne,Tick,357,432,-75,0,141200,140600,-7722,10844322,284322,OK
63.5,TraderOne,Tick,357,432,-75,0,141200,140500,-7722,10844322,291822,OK
63.735,TraderOne,Tick,357,432,-75,0,141200,140500,-7722,10844322,291822,OK
64.0,TraderOne,Tick,357,432,-75,0,141200,140500,-7722,10844322,291822,OK
64.297,TraderOne,Tick,357,432,-75,0,141200,140500,-7722,10844322,291822,OK
64.469,TraderOne,Tick,357,432,-75,0,140300,140500,-7722,10844322,321822,OK
64.766,TraderOne,Tick,406,432,-26,0,140100,140500,-8408,3980108,332308,OK
65.032,TraderOne,Tick,414,432,-18,0,140100,140500,-8184,2859084,333684,OK
65.266,TraderOne,Tick,414,432,-18,0,140100,140400,-8184,2859084,335484,OK
65.516,TraderOne,Tick,414,432,-18,0,140100,140400,-8184,2859084,335484,OK
65.75,TraderOne,Tick,414,432,-18,0,140100,140400,-8184,2859084,335484,OK
66.032,TraderOne,Tick,414,436,-22,0,140800,140400,-8240,3422340,329140,OK
66.235,TraderOne,Tick,414,436,-22,0,140800,140400,-8240,3422340,329140,OK
66.5,TraderOne,Tick,414,436,-22,0,140500,140400,-8240,3422340,331340,OK
66.75,TraderOne,Tick,414,436,-22,0,140500,140400,-8240,3422340,331340,OK
67.032,TraderOne,Tick,414,436,-22,0,140500,140400,-8240,3422340,331340,OK
67.219,TraderOne,Tick,414,436,-22,0,140700,140400,-8240,3422340,329140,OK
67.516,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
67.782,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
67.938,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
68.203,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
68.453,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
68.735,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
68.953,TraderOne,Tick,414,436,-22,0,139900,140400,-8240,3422340,337940,OK
69.219,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
69.547,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
69.766,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
70.0,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
70.25,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
70.469,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
70.719,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
70.953,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
71.25,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
71.5,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
71.766,TraderOne,Tick,414,436,-22,0,139900,140000,-8240,3422340,344540,OK
71.953,TraderOne,Tick,463,436,27,0,140200,140000,-6866,-3448834,336566,OK
72.235,TraderOne,Tick,481,436,45,0,140200,140000,-6361,-5972939,336061,OK
72.532,TraderOne,Tick,481,436,45,0,140200,140000,-6361,-5972939,336061,OK
72.797,TraderOne,Tick,481,436,45,0,140500,140000,-6361,-5972939,336061,OK
72.953,TraderOne,Tick,481,436,45,0,140500,140700,-6361,-5972939,349561,OK
73.219,TraderOne,Tick,481,436,45,0,141100,140700,-6361,-5972939,367561,OK
73.516,TraderOne,Tick,481,436,45,0,141100,140700,-6361,-5972939,367561,OK
73.766,TraderOne,Tick,481,485,-4,0,140800,140400,-4981,924881,362481,OK
74.047,TraderOne,Tick,481,488,-7,0,140800,140400,-4897,1347197,362997,OK
74.219,TraderOne,Tick,481,488,-7,0,140800,140400,-4897,1347197,362997,OK
74.438,TraderOne,Tick,481,488,-7,0,140800,140400,-4897,1347197,362997,OK
74.797,TraderOne,Tick,530,488,42,0,140000,140400,-5584,-5521916,366484,OK
75.0,TraderOne,Tick,530,488,42,0,140000,140400,-5584,-5521916,366484,OK
75.297,TraderOne,Tick,530,488,42,0,140000,140400,-5584,-5521916,366484,OK
75.516,TraderOne,Tick,530,488,42,0,140000,140400,-5584,-5521916,366484,OK
75.719,TraderOne,Tick,530,488,42,0,140000,140400,-5584,-5521916,366484,OK
76.063,TraderOne,Tick,530,537,-7,0,141100,140400,-6275,1387775,403575,OK
76.266,TraderOne,Tick,530,537,-7,0,141100,140700,-6275,1387775,401475,OK
76.516,TraderOne,Tick,547,537,10,0,140200,140700,-6513,-995387,409613,OK
76.719,TraderOne,Tick,547,537,10,0,140200,140700,-6513,-995387,409613,OK
77.032,TraderOne,Tick,547,537,10,0,140200,140700,-6513,-995387,409613,OK
77.282,TraderOne,Tick,547,537,10,0,140200,140700,-6513,-995387,409613,OK
77.485,TraderOne,Tick,547,537,10,0,140200,140700,-6513,-995387,409613,OK
77.735,TraderOne,Tick,547,537,10,0,141100,140700,-6513,-995387,413613,OK
78.016,TraderOne,Tick,547,537,10,0,141100,140700,-6513,-995387,413613,OK
78.297,TraderOne,Tick,547,537,10,0,140900,141500,-6513,-995387,417613,OK
78.485,TraderOne,Tick,596,537,59,0,141300,141500,-5132,-7900868,435832,OK
78.766,TraderOne,Tick,596,537,59,0,141300,141700,-5132,-7900868,447632,OK
78.969,TraderOne,Tick,596,537,59,0,141300,141700,-5132,-7900868,447632,OK
79.297,TraderOne,Tick,596,537,59,0,141200,141700,-5132,-7900868,447632,OK
79.5,TraderOne,Tick,596,537,59,0,141200,141700,-5132,-7900868,447632,OK
79.75,TraderOne,Tick,596,537,59,0,141200,141700,-5132,-7900868,447632,OK
79.985,TraderOne,Tick,596,537,59,0,141200,141700,-5132,-7900868,447632,OK
80.219,TraderOne,Tick,596,537,59,0,141500,142000,-5132,-7900868,465332,OK
80.485,TraderOne,Tick,596,537,59,0,141600,142000,-5132,-7900868,465332,OK
80.75,TraderOne,Tick,596,537,59,0,141600,142000,-5132,-7900868,465332,OK
